production_id,production_time,shift,equipment_id,product_id,worker_id,production_qty
P000001,2026-05-29 01:18:00,야간,M03,PR04,W003,955
P000002,2026-01-14 04:34:00,야간,M03,PR05,W008,951
P000003,2026-07-11 14:44:00,주간,M03,PR01,W007,972
P000004,2026-04-24 09:32:00,주간,M05,PR03,W003,1110
P000005,2026-06-08 14:29:00,주간,M05,PR01,W001,1020
P000006,2026-07-01 08:52:00,주간,M02,PR01,W001,1268
P000007,2026-05-03 20:07:00,야간,M01,PR01,W001,1238
P000008,2026-01-22 20:09:00,야간,M03,PR02,W001,887
P000009,2026-04-25 02:52:00,야간,M03,PR03,W004,995
P000010,2026-11-15 15:57:00,주간,M02,PR05,W008,1119
P000011,2026-11-28 00:27:00,야간,M05,PR01,W008,1269
P000012,2026-04-01 20:16:00,야간,M01,PR02,W009,1348
P000013,2026-02-09 00:15:00,야간,M05,PR02,W007,1166
P000014,2026-10-27 01:40:00,야간,M01,PR04,W008,1466
P000015,2026-03-27 21:56:00,야간,M03,PR04,W005,870
P000016,2026-07-06 16:39:00,주간,M04,PR04,W008,977
P000017,2026-07-12 21:29:00,야간,M03,PR02,W003,932
P000018,2026-07-17 09:01:00,주간,M02,PR02,W002,1131
P000019,2026-08-04 10:50:00,주간,M05,PR03,W004,1072
P000020,2026-07-30 08:28:00,주간,M04,PR04,W007,932
P000021,2026-11-09 19:57:00,주간,M03,PR05,W003,958
P000022,2026-02-24 08:01:00,주간,M04,PR04,W001,1088
P000023,2026-06-12 23:20:00,야간,M04,PR04,W009,1000
P000024,2026-10-05 07:09:00,야간,M05,PR05,W010,1259
P000025,2026-11-14 07:35:00,야간,M02,PR05,W003,1058
P000026,2026-12-06 08:10:00,주간,M04,PR01,W002,927
P000027,2026-09-13 07:43:00,야간,M04,PR03,W007,1033
P000028,2026-01-19 00:09:00,야간,M05,PR03,W009,1255
P000029,2026-10-09 12:57:00,주간,M05,PR04,W010,1006
P000030,2026-07-08 16:18:00,주간,M04,PR05,W006,1087
P000031,2026-10-21 06:36:00,야간,M05,PR01,W007,1012
P000032,2026-01-03 13:19:00,주간,M04,PR01,W010,1014
P000033,2026-09-25 03:14:00,야간,M02,PR05,W001,1073
P000034,2026-08-01 00:39:00,야간,M05,PR03,W005,1300
P000035,2026-10-16 08:13:00,주간,M01,PR05,W010,1463
P000036,2026-02-08 12:26:00,주간,M05,PR03,W003,1244
P000037,2026-05-29 20:00:00,야간,M01,PR02,W006,1342
P000038,2026-12-19 09:05:00,주간,M04,PR04,W006,1037
P000039,2026-01-17 18:51:00,주간,M02,PR04,W004,1246
P000040,2026-09-06 04:45:00,야간,M02,PR05,W006,1129
P000041,2026-07-11 22:32:00,야간,M01,PR03,W003,1458
P000042,2026-05-06 21:48:00,야간,M02,PR05,W010,1035
