quality_id,production_id,inspection_time,inspector,inspection_result,defect_type,defect_qty,defect_rate,defect_cause
Q000001,P000001,2026-05-29 02:04:00,검사원A,합격,없음,0,0.0,정상
Q000002,P000002,2026-01-14 05:10:00,검사원A,불합격,스크래치,25,2.63,설비 마모
Q000003,P000003,2026-07-11 15:32:00,검사원B,합격,없음,0,0.0,정상
Q000004,P000004,2026-04-24 10:21:00,검사원C,합격,없음,0,0.0,정상
Q000005,P000005,2026-06-08 14:49:00,검사원B,합격,없음,0,0.0,정상
Q000006,P000006,2026-07-01 09:23:00,검사원A,합격,없음,0,0.0,정상
Q000007,P000007,2026-05-03 20:59:00,검사원B,합격,없음,0,0.0,정상
Q000008,P000008,2026-01-22 21:07:00,검사원B,합격,없음,0,0.0,정상
Q000009,P000009,2026-04-25 03:44:00,검사원C,불합격,치수불량,30,3.02,설비 진동
Q000010,P000010,2026-11-15 16:18:00,검사원B,합격,없음,0,0.0,정상
Q000011,P000011,2026-11-28 01:12:00,검사원C,합격,없음,0,0.0,정상
Q000012,P000012,2026-04-01 20:56:00,검사원B,합격,없음,0,0.0,정상
Q000013,P000013,2026-02-09 01:05:00,검사원C,합격,없음,0,0.0,정상
Q000014,P000014,2026-10-27 02:13:00,검사원B,합격,없음,0,0.0,정상
Q000015,P000015,2026-03-27 22:32:00,검사원C,합격,없음,0,0.0,정상
Q000016,P000016,2026-07-06 17:28:00,검사원C,합격,없음,0,0.0,정상
Q000017,P000017,2026-07-12 21:51:00,검사원C,불합격,치수불량,17,1.82,설비 진동
Q000018,P000018,2026-07-17 09:57:00,검사원A,합격,없음,0,0.0,정상
Q000019,P000019,2026-08-04 11:11:00,검사원B,합격,없음,0,0.0,정상
Q000020,P000020,2026-07-30 08:54:00,검사원B,합격,없음,0,0.0,정상
Q000021,P000021,2026-11-09 20:36:00,검사원A,불합격,균열,30,3.13,금형 이상
Q000022,P000022,2026-02-24 08:22:00,검사원B,합격,없음,0,0.0,정상
Q000023,P000023,2026-06-13 00:10:00,검사원C,합격,없음,0,0.0,정상
Q000024,P000024,2026-10-05 07:39:00,검사원C,합격,없음,0,0.0,정상
